step,prompt_count,predicted_correct_count,majority_but_wrong_count,not_even_sampled_count,predicted_correct_rate,majority_but_wrong_rate,not_even_sampled_rate,proxy_predicted_correct_count,proxy_majority_but_wrong_count,proxy_not_even_sampled_count,proxy_reward_mean,observability_mean,consensus_mean
1,32,30,2,0,0.9375,0.0625,0.0,0,0,32,-0.5218682994788116,-1.5179432925649903,-0.8405224757325175
2,31,23,4,4,0.7419354838709677,0.12903225806451613,0.12903225806451613,0,0,31,-0.5240806404237642,-1.5951430061830683,-0.8725498123951307
3,32,23,5,4,0.71875,0.15625,0.125,0,0,32,-0.45788832748717895,-1.3097990760756715,-0.7305681680446181
4,32,27,0,5,0.84375,0.0,0.15625,1,2,29,-0.37771183469754777,-1.0359381058004955,-0.7110128623166282
5,32,26,5,1,0.8125,0.15625,0.03125,6,7,19,-0.14340137854465032,-0.42271581655057033,-0.2549135892812409
6,32,24,2,6,0.75,0.0625,0.1875,7,5,20,-0.19091472799420112,-0.6252414460079441,-0.2931885361752208
7,32,25,4,3,0.78125,0.125,0.09375,8,7,17,-0.056854008377535535,-0.2674196305281223,-0.05777790235549869
8,32,26,2,4,0.8125,0.0625,0.125,5,9,18,-0.14003678037007206,-0.4387745273328554,-0.2924776924798559
9,32,25,4,3,0.78125,0.125,0.09375,3,5,24,-0.20770934094432936,-0.5494058157031492,-0.4506639792884765
10,32,27,4,1,0.84375,0.125,0.03125,8,12,12,-0.0471220100202582,-0.16802673150816788,-0.11677800033886764
11,32,26,4,2,0.8125,0.125,0.0625,17,3,12,0.063788048669279,0.0698922540242486,0.1674603140350125
12,32,28,2,2,0.875,0.0625,0.0625,12,9,11,0.040310496253202426,-0.00535238173246727,0.14777008201293831
13,31,23,6,2,0.7419354838709677,0.1935483870967742,0.06451612903225806,12,6,13,-0.03367470192386172,-0.14714572313019708,-0.14798857029612106
14,32,26,5,1,0.8125,0.15625,0.03125,10,9,13,-0.011306754205155093,-0.06387598732102404,-0.038748005180941014
15,32,24,7,1,0.75,0.21875,0.03125,15,6,11,0.05961678706791728,0.040937076251993776,0.15875320350531116
16,32,26,3,3,0.8125,0.09375,0.09375,6,7,19,-0.12991195265067626,-0.3844668417052358,-0.33132720115222436
17,32,27,3,2,0.84375,0.09375,0.0625,15,5,12,-9.114201224681359e-05,-0.15584165324589902,0.046588553669559885
18,32,27,2,3,0.84375,0.0625,0.09375,15,8,9,0.09954332758028826,0.1769766452809439,0.2115874467762645
19,32,25,4,3,0.78125,0.125,0.09375,9,6,17,-0.12496145130448866,-0.38317786535238535,-0.28337400492277603
20,32,28,1,3,0.875,0.03125,0.09375,11,9,12,-0.06805704813233662,-0.313053472588174,-0.15095367010904467
21,32,26,5,1,0.8125,0.15625,0.03125,12,11,9,0.054398247940925244,0.07954174546117866,0.12782987180093505
22,31,25,2,4,0.8064516129032258,0.06451612903225806,0.12903225806451613,12,4,15,-0.06905734236627224,-0.31794568220270497,-0.06784682313667369
23,32,23,6,3,0.71875,0.1875,0.09375,11,7,14,-0.013083821526008399,-0.04102340387210068,-0.0757385232900544
24,32,24,3,5,0.75,0.09375,0.15625,12,10,10,-0.009583243670144959,0.028758701451189625,-0.2487313811878376
25,32,28,3,1,0.875,0.09375,0.03125,19,7,6,0.13783142468482504,0.22456178307972013,0.2997295975392037
26,32,27,3,2,0.84375,0.09375,0.0625,11,11,10,0.0001537830407619941,-0.06387598732102404,-0.03844479483363955
27,32,25,5,2,0.78125,0.15625,0.0625,12,7,13,-0.034568757528439464,-0.1433008806197797,-0.07820521906746654
28,32,25,4,3,0.78125,0.125,0.09375,14,11,7,0.14772293370857292,0.36251028196703255,0.21509433131336889
29,31,27,4,0,0.8709677419354839,0.12903225806451613,0.0,11,14,6,0.10711792633979032,0.23223014913672285,0.1946451770114444
30,32,24,5,3,0.75,0.15625,0.09375,10,10,12,-0.011731257239131735,-0.08219932232552186,-0.08136064718437738
31,32,20,7,5,0.625,0.21875,0.15625,11,10,11,-0.0658660185681059,-0.22976165023086684,-0.24490788593033272
32,32,23,5,4,0.71875,0.15625,0.125,14,9,9,0.024843884136315324,-0.026253669442666074,-0.05481709577146647
33,32,24,6,2,0.75,0.1875,0.0625,11,9,12,0.004806714439541759,0.06374059035909027,-0.16747307753309365
34,32,27,3,2,0.84375,0.09375,0.0625,19,8,5,0.1640289890915072,0.36251028196703255,0.267902317398655
35,32,27,5,0,0.84375,0.15625,0.0,18,4,10,0.05056656311322745,0.05703815291464106,0.10884422553680939
36,32,28,2,2,0.875,0.0625,0.0625,15,8,9,0.08217989219952755,0.10302098587707852,0.1468374707473278
37,32,24,2,6,0.75,0.0625,0.1875,14,7,11,0.04018224437394587,0.048990966314049755,0.04119990254634098
38,32,25,4,3,0.78125,0.125,0.09375,10,7,15,-0.010779545232705103,0.003008133351612297,-0.12181855450174203
39,31,25,4,2,0.8064516129032258,0.12903225806451613,0.06451612903225806,14,6,11,0.06576950770110654,0.10576156067529956,0.13396763001551
40,31,22,5,4,0.7096774193548387,0.16129032258064516,0.12903225806451613,14,6,11,0.027387397577263745,-0.047244526851120024,0.09351623977288982
41,32,28,4,0,0.875,0.125,0.0,14,8,10,0.09612431716076524,0.200769214180332,0.16779329257968575
42,32,28,3,1,0.875,0.09375,0.03125,10,17,5,0.128014846941406,0.30370901031388503,0.14784863604215298
43,32,30,0,2,0.9375,0.0,0.0625,9,15,8,0.10826995135664591,0.32906822163071436,0.06991498245641883
44,31,26,3,2,0.8387096774193549,0.0967741935483871,0.06451612903225806,17,4,10,0.09393400160057251,0.1563923834911133,0.1708614836938861
45,32,24,3,5,0.75,0.09375,0.15625,15,8,9,0.06725521727765443,0.020078154422157123,0.1306567137693798
46,32,22,6,4,0.6875,0.1875,0.125,9,12,11,-0.023657900484107146,0.050279942666900265,-0.29020450399466474
47,32,26,4,2,0.8125,0.125,0.0625,9,9,14,-0.03308450971861041,-0.07123189557830849,-0.14764636471663087
48,32,21,9,2,0.65625,0.28125,0.0625,12,7,13,-0.02672545242453849,-0.10275161913333498,-0.11789583320220945
49,32,27,1,4,0.84375,0.03125,0.125,18,6,8,0.0924005191120624,0.10465895313231481,0.1797077815826496
50,32,26,3,3,0.8125,0.09375,0.09375,16,6,10,0.01801002705549482,-0.13138676496063686,0.07772474776055871
51,32,26,1,5,0.8125,0.03125,0.15625,13,7,12,0.0452020018361066,-0.04297469961082518,0.17025898343620408
52,32,21,7,4,0.65625,0.21875,0.125,11,10,11,-0.07367172986932477,-0.320787330705277,-0.20210846027678178
53,32,26,3,3,0.8125,0.09375,0.09375,15,7,10,0.06281587503429124,0.07797510304373742,0.086845181402765
54,32,27,5,0,0.84375,0.15625,0.0,16,9,7,0.09266506942677594,0.27054461604215757,0.024371383278697194
55,32,29,1,2,0.90625,0.03125,0.0625,18,6,8,0.11312106862888856,0.24964332833195876,0.18273632619856367
56,31,28,0,3,0.9032258064516129,0.0,0.0967741935483871,16,8,7,0.09554494921638142,0.04801120931235167,0.24346081552748522
57,32,24,5,3,0.75,0.15625,0.09375,12,10,10,0.008484883434957454,-0.03461418452674563,-0.11723537520466433
58,32,29,2,1,0.90625,0.0625,0.03125,18,10,4,0.21409866423787008,0.43357466018170865,0.4648980754461977
59,32,26,4,2,0.8125,0.125,0.0625,16,11,5,0.18133370852145267,0.3966213651506894,0.32607952111600447
60,32,23,5,4,0.71875,0.15625,0.125,13,8,11,0.013928787949331006,0.030040974342575417,-0.05516372300538634
61,32,25,5,2,0.78125,0.15625,0.0625,14,8,10,0.05522303650983014,0.08790226054525822,0.017143537355551047
62,32,26,5,1,0.8125,0.15625,0.03125,12,11,9,0.04285114172315515,0.057351481398129296,-0.005618973820155164
63,32,25,6,1,0.78125,0.1875,0.03125,15,7,10,0.07764213076526033,0.1184530396923871,0.1090001176238803
64,32,28,0,4,0.875,0.0,0.125,15,7,10,0.028572593516301353,0.03195660766240242,-0.02703390154301199
65,32,25,4,3,0.78125,0.125,0.09375,13,12,7,0.0352690085427566,0.07121689279599662,-0.10736048980206263
66,32,25,5,2,0.78125,0.15625,0.0625,12,10,10,0.07350257525706344,0.20756979030843498,0.047966471989489314
67,32,20,8,4,0.625,0.25,0.125,9,11,12,-0.033185539508247736,-0.03425849016289518,-0.23963341723284534
68,32,30,2,0,0.9375,0.0625,0.0,17,9,6,0.16009511489251027,0.3609079771306938,0.2603990722170781
69,32,22,7,3,0.6875,0.21875,0.09375,12,9,11,-0.03857232312973863,-0.16128863164482113,-0.1561206096284864
70,32,26,3,3,0.8125,0.09375,0.09375,13,8,11,0.024954539402987,0.028787660408622427,-0.07720631744670799
71,32,25,3,4,0.78125,0.09375,0.125,15,8,9,0.056624365205525905,0.09337149444014847,0.10036833025065796
72,32,26,4,2,0.8125,0.125,0.0625,15,10,7,0.12335125194062721,0.2133099868064513,0.22656100925048783
73,32,27,2,3,0.84375,0.0625,0.09375,18,9,5,0.17071609136290283,0.36000365409912655,0.3195159475996141
74,32,22,5,5,0.6875,0.15625,0.15625,9,12,11,-0.000997460082205079,0.012066630240463342,-0.12457015645084427
75,32,29,2,1,0.90625,0.0625,0.03125,14,11,7,0.09769528911540167,0.25640153857969955,0.09411622476761014
76,32,27,1,4,0.84375,0.03125,0.125,12,7,13,-0.0034111335782076083,-0.09247547072942842,-0.05331841463886703
77,32,23,4,5,0.71875,0.125,0.15625,14,11,7,0.08926731555057019,0.16603817749116334,0.07493851358379375
78,32,24,5,3,0.75,0.15625,0.09375,11,13,8,0.04924731312095874,0.09309382837555774,-0.0070074421619877435
79,32,28,1,3,0.875,0.03125,0.09375,15,6,11,0.030667281796150178,0.01652455384709388,-0.00406092444324254
80,32,27,2,3,0.84375,0.0625,0.09375,11,13,8,0.013145677982341323,-0.06708730045516623,-0.10421497129793676
81,32,28,3,1,0.875,0.09375,0.03125,13,6,13,-0.016552109276660155,-0.09184881376245192,-0.06808271156633894
82,32,28,1,3,0.875,0.03125,0.09375,13,9,10,0.02016724578680863,0.03645019368793049,-0.08761199474906772
83,32,26,4,2,0.8125,0.125,0.0625,16,6,10,0.04343271590031386,0.08599333068689588,-0.00023820030399703505
84,32,28,3,1,0.875,0.09375,0.03125,12,11,9,0.005154472487382041,-0.0198087876784136,-0.10160100038511577
85,32,24,5,3,0.75,0.15625,0.09375,15,6,11,0.028877765762779724,-0.028169302762493107,0.05637705109457828
86,32,30,1,1,0.9375,0.03125,0.03125,19,11,2,0.25107537537582736,0.5435503326275932,0.4808332142960535
87,32,31,0,1,0.96875,0.0,0.03125,18,10,4,0.17175102796845748,0.3416089942568337,0.3203974953796235
