step,prompt_index,group_size,abnormal,reasons,logged_bucket,local_bucket,strict_code_mismatch_rows,semantic_code_mismatch_rows,semantic_obj_mismatch_rows,prompt_preview
1,0,32,False,,maj,maj,1,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,1,32,False,,maj,maj,2,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,2,32,False,,maj,maj,1,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,3,32,False,,maj,maj,0,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,4,32,False,,maj,maj,0,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,5,32,False,,maj,maj,1,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,6,32,False,,maj,maj,1,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,7,32,False,,maj,maj,2,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,8,32,False,,maj,maj,4,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,9,32,False,,maj,maj,4,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,10,32,False,,maj,maj,0,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,11,32,False,,maj,maj,4,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,12,32,False,,maj,maj,2,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,13,32,False,,maj,maj,1,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,14,32,False,,maj,maj,0,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,15,32,False,,maj,maj,1,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,16,32,False,,maj,maj,1,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,17,32,False,,maj,maj,0,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,18,32,False,,maj,maj,1,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
1,19,32,False,,maj,maj,2,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
