category,step,prompt_index,group_size,abnormal,logged_bucket,local_bucket,reasons,normalized_reasons,strict_code_mismatch_rows,semantic_code_mismatch_rows,semantic_obj_mismatch_rows,prompt_preview
data_integrity,1,22,32,True,maj,maj,missing_code_rows_1,missing_code_rows,4,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
data_integrity,2,17,32,True,maj,maj,missing_code_rows_1,missing_code_rows,2,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
data_integrity,2,19,64,True,maj,maj,group_size_64|missing_code_rows_1,group_size_anomaly|missing_code_rows,3,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
data_integrity,2,21,32,True,others,others,missing_code_rows_1,missing_code_rows,5,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
data_integrity,3,2,32,True,others,others,missing_code_rows_1,missing_code_rows,0,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
data_integrity,3,8,32,True,maj,maj,missing_code_rows_1,missing_code_rows,2,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
data_integrity,3,15,32,True,maj,maj,missing_code_rows_1,missing_code_rows,2,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
data_integrity,3,31,32,True,maj,maj,missing_code_rows_1,missing_code_rows,0,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
data_integrity,4,4,32,True,maj,maj,missing_code_rows_1,missing_code_rows,0,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
data_integrity,4,28,32,True,maj,maj,missing_code_rows_1,missing_code_rows,0,0,0,"system You are a helpful Assistant with expertise in mathmetical modeling and the Gurobi solver. When the User provides an OR question, you will analyze it, build a detailed mathem"
